Column Name,Description
Runs,"The number of runs scored by Sachin in that particular match. If he remained not out, then it has been marked by an asterisk (*)"
Mins,Total time taken by Sachin to score the runs. Essentially the time for which Sachin batted in that match.
BF,Total number of balls faced by Sachin to score the runs in that match.
4s,Number of fours hit by Sachin in that match
6s,Number of sixes hit by Sachin in that match
SR,The strike rate of Sachin in that match.
Pos,The batting position of Sachin in that match.
Dismissal,The mode of dismissal in that match.
Inns,Denotes whether team batted first or batted second
Opposition,The opposition country against which Sachin played.
Ground,The ground where the match was played.
Start Date,The date when the match was played.
